modality,run,case,item_id,fact_id,kind,provenance,expected,matched_value,recovered,vir_item,error
visual,2,MSRE,msre_v17,msre_v17,length,deduced,0.8128,,False,0.0,
visual,2,MSRE,msre_v18,msre_v18,length,deduced,1.0668,,False,0.0,
visual,2,MSRE,msre_v19,msre_v19,length,deduced,2.5298,,False,0.0,
visual,2,MSRE,msre_v20,msre_v20,length,deduced,0.5,,False,0.0,
visual,2,MSRE,msre_v21,msre_v21,length,deduced,1.2474,,False,0.0,
visual,2,MSRE,msre_v22,msre_v22,length,deduced,1.0312,,False,0.0,
visual,3,ABTR,abtr_v01,abtr_v01,coordinate,explicit,"[0.0, 2.3]","{""label"": ""Inlet"", ""value"": [0.0, 2.3]}",True,1.0,
visual,3,ABTR,abtr_v02,abtr_v02,coordinate,explicit,"[0.0, -0.6]","{""label"": ""Outlet"", ""value"": [0.0, -0.6]}",True,1.0,
visual,3,ABTR,abtr_v03,abtr_v03,coordinate,inferred,"[-1.0, 0.0]",,False,0.0,
visual,3,ABTR,abtr_v04,abtr_v04,coordinate,inferred,"[-0.5, 0.0]",,False,0.0,
visual,3,ABTR,abtr_v05,abtr_v05,coordinate,inferred,"[0.0, 0.0]","{""label"": ""CH3"", ""value"": [0.0, 0.0]}",True,1.0,
visual,3,ABTR,abtr_v06,abtr_v06,coordinate,inferred,"[0.5, 0.0]",,False,0.0,
visual,3,ABTR,abtr_v07,abtr_v07,coordinate,inferred,"[1.0, 0.0]",,False,0.0,
visual,3,ABTR,abtr_v08,abtr_v08,coordinate,inferred,"[0.0, 0.8]",,False,0.0,
visual,3,ABTR,abtr_v09,abtr_v09,length,deduced,0.6,,False,0.0,
visual,3,ABTR,abtr_v10,abtr_v10,length,deduced,1.5,,False,0.0,
visual,3,ABTR,abtr_v11,abtr_v11,length,deduced,0.8,,False,0.0,
visual,3,ABTR,abtr_v12,abtr_v12,length,deduced,0.8,,False,0.0,
visual,3,ABTR,abtr_v13,abtr_v13,length,deduced,0.8,,False,0.0,
visual,3,ABTR,abtr_v14,abtr_v14,length,deduced,0.8,,False,0.0,
visual,3,ABTR,abtr_v15,abtr_v15,length,deduced,0.8,,False,0.0,
visual,3,MSRE,msre_v01,msre_v01,coordinate,explicit,"[-0.7366, 0.0]","{""label"": ""inlet_plenum_start"", ""value"": [-0.7366, 0.0]}",True,1.0,
visual,3,MSRE,msre_v02,msre_v02,coordinate,explicit,"[0.0, 1.7272]","{""label"": ""core_end"", ""value"": [0.0, 1.7272]}",True,1.0,
visual,3,MSRE,msre_v03,msre_v03,coordinate,explicit,"[0.0, 2.1618]","{""label"": ""upper_plenum_end"", ""value"": [0.0, 2.1618]}",True,1.0,
visual,3,MSRE,msre_v04,msre_v04,coordinate,explicit,"[1.8288, 2.1618]","{""label"": ""pipe1_end"", ""value"": [1.8288, 2.1618]}",True,1.0,
visual,3,MSRE,msre_v05,msre_v05,coordinate,explicit,"[1.8288, 2.9746]","{""label"": ""Pump"", ""value"": [1.8288, 2.9746]}",True,1.0,
visual,3,MSRE,msre_v06,msre_v06,coordinate,explicit,"[0.762, 2.9746]","{""label"": ""HX_secondary_out"", ""value"": [0.762, 2.9746]}",True,1.0,
visual,3,MSRE,msre_v07,msre_v07,coordinate,explicit,"[-1.7678, 2.9746]","{""label"": ""HX_secondary_in"", ""value"": [-1.7678, 2.9746]}",True,1.0,
visual,3,MSRE,msre_v08,msre_v08,coordinate,explicit,"[-2.2678, 2.9746]","{""label"": ""ref_p"", ""value"": [-2.2678, 2.9746]}",True,1.0,
visual,3,MSRE,msre_v09,msre_v09,coordinate,explicit,"[-1.7678, 1.7272]","{""label"": ""pipe4_end"", ""value"": [-1.767, 1.7272]}",True,1.0,
visual,3,MSRE,msre_v10,msre_v10,coordinate,inferred,"[-0.7366, 1.7272]",,False,0.0,
visual,3,MSRE,msre_v11,msre_v11,coordinate,inferred,"[0.0, 0.0]","{""label"": ""core_start"", ""value"": [0.0, 0.0]}",True,1.0,
visual,3,MSRE,msre_v12,msre_v12,length,deduced,1.7272,1.227,False,0.0,
visual,3,MSRE,msre_v13,msre_v13,length,deduced,0.7366,0.7366,True,1.0,
visual,3,MSRE,msre_v14,msre_v14,length,deduced,1.7272,1.7272,True,1.0,
visual,3,MSRE,msre_v15,msre_v15,length,deduced,0.4346,0.4346,True,1.0,
visual,3,MSRE,msre_v16,msre_v16,length,deduced,1.8288,1.8288,True,1.0,
visual,3,MSRE,msre_v17,msre_v17,length,deduced,0.8128,0.8128,True,1.0,
visual,3,MSRE,msre_v18,msre_v18,length,deduced,1.0668,1.0668,True,1.0,
visual,3,MSRE,msre_v19,msre_v19,length,deduced,2.5298,,False,0.0,
visual,3,MSRE,msre_v20,msre_v20,length,deduced,0.5,0.5,True,1.0,
visual,3,MSRE,msre_v21,msre_v21,length,deduced,1.2474,1.2474,True,1.0,
visual,3,MSRE,msre_v22,msre_v22,length,deduced,1.0312,1.767,False,0.0,
