Block Name,Point ID,heat_transfer_coefficient,ids,Points_0,Points_1,Points_2,Points_Magnitude,pressure,rho,T_solid,temperature,Tw,velocity,,pipe:solid:wall_0,0,0,22,0,0.01,0,0.01,0,0,628.15,0,0,0
pipe,10,10000,11,3.06E-17,0,0.5,0.5,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,11,0,33,9.18E-18,0.011,0.15,0.150403,0,0,628.15,0,0,0
pipe,11,10000,12,3.37E-17,0,0.55,0.55,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,12,0,34,1.22E-17,0.01,0.2,0.20025,0,0,628.15,0,0,0
pipe,12,10000,13,3.67E-17,0,0.6,0.6,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,13,0,35,1.22E-17,0.0105,0.2,0.200275,0,0,628.15,0,0,0
pipe,13,10000,14,3.98E-17,0,0.65,0.65,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,14,0,36,1.22E-17,0.011,0.2,0.200302,0,0,628.15,0,0,0
pipe,14,10000,15,4.29E-17,0,0.7,0.7,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,15,0,37,1.53E-17,0.01,0.25,0.2502,0,0,628.15,0,0,0
pipe,15,10000,16,4.59E-17,0,0.75,0.75,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,16,0,38,1.53E-17,0.0105,0.25,0.25022,0,0,628.15,0,0,0
pipe,16,10000,17,4.90E-17,0,0.8,0.8,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,17,0,39,1.53E-17,0.011,0.25,0.250242,0,0,628.15,0,0,0
pipe,17,10000,18,5.20E-17,0,0.85,0.85,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,18,0,40,1.84E-17,0.01,0.3,0.300167,0,0,628.15,0,0,0
pipe,18,10000,19,5.51E-17,0,0.9,0.9,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,19,0,41,1.84E-17,0.0105,0.3,0.300184,0,0,628.15,0,0,0
pipe,19,10000,20,5.82E-17,0,0.95,0.95,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,20,0,42,1.84E-17,0.011,0.3,0.300202,0,0,628.15,0,0,0
pipe,20,10000,21,6.12E-17,0,1,1,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,21,0,43,2.14E-17,0.01,0.35,0.350143,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,22,0,44,2.14E-17,0.0105,0.35,0.350157,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,23,0,45,2.14E-17,0.011,0.35,0.350173,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,24,0,46,2.45E-17,0.01,0.4,0.400125,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,25,0,47,2.45E-17,0.0105,0.4,0.400138,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,26,0,48,2.45E-17,0.011,0.4,0.400151,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,27,0,49,2.76E-17,0.01,0.45,0.450111,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,28,0,50,2.76E-17,0.0105,0.45,0.450122,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,29,0,51,2.76E-17,0.011,0.45,0.450134,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,30,0,52,3.06E-17,0.01,0.5,0.5001,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,31,0,53,3.06E-17,0.0105,0.5,0.50011,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,32,0,54,3.06E-17,0.011,0.5,0.500121,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,33,0,55,3.37E-17,0.01,0.55,0.550091,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,34,0,56,3.37E-17,0.0105,0.55,0.5501,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,35,0,57,3.37E-17,0.011,0.55,0.55011,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,36,0,58,3.67E-17,0.01,0.6,0.600083,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,37,0,59,3.67E-17,0.0105,0.6,0.600092,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,38,0,60,3.67E-17,0.011,0.6,0.600101,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,39,0,61,3.98E-17,0.01,0.65,0.650077,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,40,0,62,3.98E-17,0.0105,0.65,0.650085,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,41,0,63,3.98E-17,0.011,0.65,0.650093,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,42,0,64,4.29E-17,0.01,0.7,0.700071,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,43,0,65,4.29E-17,0.0105,0.7,0.700079,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,44,0,66,4.29E-17,0.011,0.7,0.700086,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,45,0,67,4.59E-17,0.01,0.75,0.750067,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,46,0,68,4.59E-17,0.0105,0.75,0.750073,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,47,0,69,4.59E-17,0.011,0.75,0.750081,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,48,0,70,4.90E-17,0.01,0.8,0.800062,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,49,0,71,4.90E-17,0.0105,0.8,0.800069,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,50,0,72,4.90E-17,0.011,0.8,0.800076,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,51,0,73,5.20E-17,0.01,0.85,0.850059,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,52,0,74,5.20E-17,0.0105,0.85,0.850065,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,53,0,75,5.20E-17,0.011,0.85,0.850071,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,54,0,76,5.51E-17,0.01,0.9,0.900056,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,55,0,77,5.51E-17,0.0105,0.9,0.900061,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,56,0,78,5.51E-17,0.011,0.9,0.900067,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,57,0,79,5.82E-17,0.01,0.95,0.950053,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,58,0,80,5.82E-17,0.0105,0.95,0.950058,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,59,0,81,5.82E-17,0.011,0.95,0.950064,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,60,0,82,6.12E-17,0.01,1,1.00005,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,61,0,83,6.12E-17,0.0105,1,1.00006,0,0,628.15,0,0,0
,,,,,,,,,,,,,,,pipe:solid:wall_0,62,0,84,6.12E-17,0.011,1,1.00006,0,0,628.15,0,0,0
