modality,run,case,requested_vision_model,resolved_vision_model,structuring_model,vision_input_tokens,vision_output_tokens,vision_reasoning_tokens,structuring_input_tokens,structuring_output_tokens,latency_seconds,raw_log,error,item_id,fact_id,kind,provenance,expected,matched_value,recovered,vir_item
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v17,msre_v17,length,deduced,0.8128,0.8128,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v18,msre_v18,length,deduced,1.0668,2.5298,False,0.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v19,msre_v19,length,deduced,2.5298,0.5,False,0.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v20,msre_v20,length,deduced,0.5,0.5,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v21,msre_v21,length,deduced,1.2474,1.2474,True,1.0
visual,1,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1352,516,1048,1565,35.020602300000974,raw/run_01/MSRE.json,,msre_v22,msre_v22,length,deduced,1.0312,1.0304,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v01,msre_v01,coordinate,explicit,"[-0.7366, 0.0]","{""label"": ""inlet_plenum start"", ""value"": [-0.7366, 0.0]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v02,msre_v02,coordinate,explicit,"[0.0, 1.7272]","{""label"": ""core end"", ""value"": [0.0, 1.7272]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v03,msre_v03,coordinate,explicit,"[0.0, 2.1618]","{""label"": ""upper_plenum end"", ""value"": [0.0, 2.1618]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v04,msre_v04,coordinate,explicit,"[1.8288, 2.1618]","{""label"": ""pipe1 end"", ""value"": [1.8288, 2.1618]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v05,msre_v05,coordinate,explicit,"[1.8288, 2.9746]","{""label"": ""pump location"", ""value"": [1.8288, 2.9746]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v06,msre_v06,coordinate,explicit,"[0.762, 2.9746]","{""label"": ""HX_secondary_out"", ""value"": [0.762, 2.9746]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v07,msre_v07,coordinate,explicit,"[-1.7678, 2.9746]","{""label"": ""HX_secondary_in"", ""value"": [-1.7678, 2.9746]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v08,msre_v08,coordinate,explicit,"[-2.2678, 2.9746]","{""label"": ""ref_p"", ""value"": [-2.2678, 2.9746]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v09,msre_v09,coordinate,explicit,"[-1.7678, 1.7272]","{""label"": ""pipe4 end"", ""value"": [-1.767, 1.7272]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v10,msre_v10,coordinate,inferred,"[-0.7366, 1.7272]",,False,0.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v11,msre_v11,coordinate,inferred,"[0.0, 0.0]","{""label"": ""core start"", ""value"": [0.0, 0.0]}",True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v12,msre_v12,length,deduced,1.7272,1.7272,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v13,msre_v13,length,deduced,0.7366,0.7366,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v14,msre_v14,length,deduced,1.7272,1.7272,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v15,msre_v15,length,deduced,0.4346,0.4346,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v16,msre_v16,length,deduced,1.8288,1.8288,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v17,msre_v17,length,deduced,0.8128,0.8128,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v18,msre_v18,length,deduced,1.0668,1.0668,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v19,msre_v19,length,deduced,2.5298,2.5298,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v20,msre_v20,length,deduced,0.5,0.5,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v21,msre_v21,length,deduced,1.2474,1.2476,True,1.0
visual,2,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1293,503,1002,1621,35.75566179999987,raw/run_02/MSRE.json,,msre_v22,msre_v22,length,deduced,1.0312,1.767,False,0.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v01,msre_v01,coordinate,explicit,"[-0.7366, 0.0]",,False,0.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v02,msre_v02,coordinate,explicit,"[0.0, 1.7272]",,False,0.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v03,msre_v03,coordinate,explicit,"[0.0, 2.1618]",,False,0.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v04,msre_v04,coordinate,explicit,"[1.8288, 2.1618]",,False,0.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v05,msre_v05,coordinate,explicit,"[1.8288, 2.9746]","{""label"": ""pump"", ""value"": [1.8288, 2.9746]}",True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v06,msre_v06,coordinate,explicit,"[0.762, 2.9746]","{""label"": ""HX_secondary_out"", ""value"": [0.762, 2.9746]}",True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v07,msre_v07,coordinate,explicit,"[-1.7678, 2.9746]","{""label"": ""HX_secondary_in"", ""value"": [-1.7678, 2.9746]}",True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v08,msre_v08,coordinate,explicit,"[-2.2678, 2.9746]","{""label"": ""ref_p"", ""value"": [-2.2678, 2.9746]}",True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v09,msre_v09,coordinate,explicit,"[-1.7678, 1.7272]",,False,0.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v10,msre_v10,coordinate,inferred,"[-0.7366, 1.7272]","{""label"": ""downcomer_top"", ""value"": [-0.7366, 1.7272]}",True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v11,msre_v11,coordinate,inferred,"[0.0, 0.0]","{""label"": ""core_bottom"", ""value"": [0.0, 0.0]}",True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v12,msre_v12,length,deduced,1.7272,1.7272,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v13,msre_v13,length,deduced,0.7366,0.7366,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v14,msre_v14,length,deduced,1.7272,1.7272,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v15,msre_v15,length,deduced,0.4346,0.4346,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v16,msre_v16,length,deduced,1.8288,1.8288,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v17,msre_v17,length,deduced,0.8128,0.8128,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v18,msre_v18,length,deduced,1.0668,1.0668,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v19,msre_v19,length,deduced,2.5298,2.5298,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v20,msre_v20,length,deduced,0.5,0.5,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v21,msre_v21,length,deduced,1.2474,1.2474,True,1.0
visual,3,MSRE,gpt-5.6-sol,gpt-5.6-sol,gpt-4o-mini-2024-07-18,8509,1333,516,1029,1053,31.97933710000143,raw/run_03/MSRE.json,,msre_v22,msre_v22,length,deduced,1.0312,1.0304,True,1.0
